"name","fork project","commits","branches","default branch","releases","contributors","license","watchers","stargazers","forks","size","created","pushed","updated","homepage","main language","total issues","open issues","total pull requests","open pull requests","last commit","last commit SHA","has wiki","is archived","languages","labels"
"airbnb/lottie-android","false","1286","26","master","29","95","Apache License 2.0","873","30853","4935","134854","2016-10-06 22:42:42.0","2021-03-25 18:08:59.0","2021-03-26 03:08:41.0","http://airbnb.io/lottie/","Java","1260","25","494","3","2021-03-25 17:32:57.0","c50f672cbf0ce3ebbfceb8309a9c20c42b5120fe","false","false","Java,Kotlin,Shell,JavaScript","Crash,Good first issue,Help wanted,Incorrect Template Usage,Needs more info,New feature,Non-Rendering Bug,Rendering bug,Sample App,Text,compose,duplicate"
"alibaba/arouter","false","292","3","develop","19","19","Apache License 2.0","372","12858","2248","26563","2016-12-14 01:27:49.0","2021-02-06 18:13:23.0","2021-02-09 16:25:56.0","","Java","766","23","129","5","2021-01-04 10:15:30.0","38c0eeae79253a9bfb0d5f1b19f63c31c4364b9c","true","false","Java,Groovy,Kotlin,HTML","bug,duplicate,enhancement (新需求),help wanted,invalid,question (待确认),wontfix,挺好"
"alibaba/arthas","false","1510","10","master","33","127","Apache License 2.0","1138","25155","5515","22897","2018-08-29 17:15:57.0","2021-03-29 09:32:03.0","2021-03-29 12:51:47.0","https://arthas.aliyun.com/","Java","1250","143","497","30","2021-03-29 09:31:48.0","fccdd5c313d28f29e6ec2705a929d695eb2877b4","true","false","Java,JavaScript,HTML,Shell,Python,CSS,Batchfile,Roff,Makefile,Dockerfile,ActionScript,Groovy","4.0,SoC2019,SoC2020,bug,dependencies,disscuss,duplicate,enhancement,feature,help wanted,invalid,kind/feature-request,kind/research,not-a-bug,question-answered,question-unanswered,someday,user-case,wontfix"
"alibaba/canal","false","1411","9","master","26","121","Apache License 2.0","1185","17858","5555","18359","2013-01-13 10:59:52.0","2021-02-22 06:30:47.0","2021-02-22 13:06:26.0","","Java","2905","547","470","53","2020-12-31 03:33:01.0","8cfb07f07ec9c321500e869559d6e78419ba27a1","true","false","Java,Vue,JavaScript,Shell,PLpgSQL,SCSS,HTML,Batchfile,Dockerfile,Python,CSS","bug,document,duplicate,enhancement,feature,invalid,note,question,type/SoC2019,wontfix"
"alibaba/druid","false","6395","10","master","41","147","Other","1809","23522","7660","64359","2011-11-03 05:12:51.0","2021-03-22 06:34:13.0","2021-03-22 11:17:08.0","https://github.com/alibaba/druid/wiki","Java","3131","1904","1066","56","2021-03-21 15:49:03.0","49be9ac6042fdac81616f7c57de54395bc6dfcf2","true","false","Java,HTML,TSQL,JavaScript,PLSQL,CSS,Batchfile,Shell","Alibaba,Bug,Enhancement,Need Infos,New Feature,OldVersion,Pool,Question,SQLParser,SpringBoot,type/SoC2019"
"alibaba/fastjson","false","3810","19","master","81","149","Apache License 2.0","1376","23162","6205","14943","2011-11-03 06:58:52.0","2021-03-29 09:17:04.0","2021-03-29 13:17:44.0","https://github.com/alibaba/fastjson/wiki","Java","2990","1505","685","97","2021-03-23 15:00:58.0","9b8b186772e40a1229c2212bbf40a23e45d1f0f2","true","false","Java,Kotlin,JavaScript,Shell","Android,New Feature,OldVersion,bug,dependencies,enhancement,needs info,question,type/SoC2019"
"alibaba/nacos","false","3031","31","develop","36","159","Apache License 2.0","812","16903","6567","40952","2018-06-15 06:49:27.0","2021-03-29 15:04:10.0","2021-03-30 00:39:07.0","https://nacos.io","Java","3680","255","1522","15","2021-03-29 07:23:55.0","6d500c92ab0044aa080596f8469b9166706781d7","true","false","Java,SCSS,Shell,JavaScript,TypeScript,Batchfile","SoC2020,Soc2019,area/Client,area/Config,area/DNS-Server,area/Document,area/Dubbo,area/Istio,area/Kubernetes,area/Nacos Core,area/Nacos console,area/Naming,area/Service Mesh,area/Spring,area/Spring Boot,area/Spring Cloud,area/Test,contribution welcome,dependencies,expired,follow up,go,good first issue,help wanted,java,kind/bug,kind/code quality,kind/discussion,kind/enhancement,kind/feature,kind/notice,kind/performance,kind/proposal,kind/question,kind/refactor,kind/research,kind/typo,kind/user experience,os/windows,pending,priority/blocker,priority/high,priority/low,priority/normal,priority/urgent,status/duplicate,status/inactive,status/invalid,status/lack env information,status/merge-conflict,status/more-info-needed,status/need discuss,status/need feedback,status/wontfix,version/2.x,weekly-report"
"alibaba/sentinel","false","684","21","master","17","133","Apache License 2.0","750","15643","5360","7091","2018-04-04 06:37:33.0","2021-03-27 02:25:45.0","2021-03-27 18:48:59.0","https://sentinelguard.io/","Java","1438","261","642","68","2021-03-23 02:46:01.0","744be07a573a5d060f90f99226b3b171f384844a","true","false","Java,JavaScript,HTML,CSS,Shell,Dockerfile","ASoC2020,SoC2019,api-change,area/adaptive-traffic-shaping,area/annotation,area/benchmark,area/ci,area/circuit-breaking,area/cloud-native,area/cluster-flow,area/concurrency-limiting,area/configuration,area/dashboard,area/data-source,area/document,area/example,area/flow-control,area/gateway-flow-control,area/hotspot-param-flow,area/integrations,area/logging,area/metrics,area/performance,area/polyglot,area/test,dependencies,duplicate,good first issue,help wanted,inactive,integration/spring-cloud,invalid,java,javascript,kind/bug,kind/discussion,kind/enhancement,kind/feature,kind/notice,kind/question,kind/refactor,merge-conflict,priority/high,priority/low,priority/normal,priority/urgent,size/L,size/M,size/S,size/XL,size/XS,size/XXL,size/∞,to-review,typo/format,weekly-report,wontfix"
"alibaba/spring-cloud-alibaba","false","1744","7","master","21","100","Apache License 2.0","962","18101","5512","6378","2017-12-01 20:49:15.0","2021-03-29 12:40:11.0","2021-03-30 00:37:55.0","https://spring.io/projects/spring-cloud-alibaba","Java","1349","271","649","50","2021-03-25 02:20:17.0","51a8b32ff39e6cac29ba80db36cbed5f31683a9e","true","false","Java,Shell,JavaScript,HTML","SoC2019,SoC2020,alicloud,bug,component bug,conflicts,dependencies,discussion,docs,dubbo,duplicate,enhancement,good first issue,help wanted,initializr,invalid,nacos,question,rocketmq,seata,sentinel,sidecar,to review,typo/format,waiting for feedback,wontfix"
"alibaba/vlayout","false","364","12","master","43","16","MIT License","345","10625","1799","1716","2017-02-27 08:11:47.0","2020-07-07 02:01:19.0","2020-12-07 09:45:12.0","http://tangram.pingguohe.net/","Java","494","183","23","5","2020-05-14 06:31:24.0","54687a7eb56a920dd1d3606585ce4ef15e716c6a","true","false","",""
"android-async-http/android-async-http","false","899","4","master","14","78","Apache License 2.0","796","10604","4250","3063","2011-02-20 03:25:07.0","2021-01-18 09:40:35.0","2021-01-18 09:40:30.0","https://github.com/android-async-http/android-async-http#this-project-is-no-longer-maintained-and-is-currently-deprecated-and-insecure-to-use","Java","1073","100","284","0","2021-01-18 09:40:25.0","018a0b8d96a0dd569de9f8128cfe5d030e0423ef","true","false","",""
"android-hacker/virtualxposed","false","1630","12","vxp","71","38","GNU General Public License v3.0","497","11331","1976","49734","2017-12-01 09:00:58.0","2021-02-24 21:29:52.0","2021-02-25 11:13:32.0","https://vxp.app","Java","916","64","62","1","2021-02-24 04:40:23.0","f5b1174b8b0963e20c2d087fe318b8ffa9ee0af7","true","false","Java,C++,C,Makefile,Starlark","Android 11,Android 9.0,Won't Fix (Obsolete),bug,duplicate,enhancement,fixed,good first issue,help wanted,inactive,invalid,irrelevant,low-priority,needs-extra-support,needs-more-info,question,stupid,wontfix"
"androidannotations/androidannotations","false","2932","2","develop","34","58","Other","684","11105","2447","22499","2012-01-06 08:48:03.0","2020-11-19 20:37:14.0","2020-12-10 01:42:02.0","http://androidannotations.org","Java","1652","44","633","0","2020-11-19 20:37:10.0","52566338e49182279b3bc453f5fbc3f650d0da7e","true","false","Java,Shell","ContributionWelcome,Defect,Documentation,Enhancement,Merged,Task,WikiUpdateNeeded"
"apache/druid","false","10896","48","master","44","364","Apache License 2.0","629","10700","2881","225976","2012-10-23 19:08:07.0","2021-03-29 22:45:40.0","2021-03-29 20:58:05.0","https://druid.apache.org/","Java","3906","1021","7116","93","2021-03-29 20:57:58.0","8544d29bc7c7f5f762981b408c939a3988a0758f","true","false","Java,TypeScript,TeX,SCSS,Shell,JavaScript,Python,R,Stylus,Dockerfile,ANTLR,CSS,Roff,HTML,Thrift,Makefile,PostScript","Apache,Area - Automation/Static Analysis,Area - Batch Ingestion,Area - Cache,Area - Compaction,Area - Deep Storage,Area - Dependencies,Area - Dependency Injection,Area - Dev,Area - Documentation,Area - Extension,Area - Ingestion,Area - Lookups,Area - Metadata,Area - Metrics/Event Emitting,Area - Null Handling,Area - Operations,Area - Query UI,Area - Querying,Area - Router,Area - SQL,Area - Segment Balancing/Coordination,Area - Segment Format and Ser/De,Area - Streaming Ingestion,Area - Testing,Area - Web Console,Area - Zookeeper/Curator,Backport,Bug,Compatibility,Contributions Welcome,Design Review,Dev Productivity,Development Blocker,Discuss,Docker,Ease of Use,Ecosystem,Error handling,Evergreen,Feature,Feature/Change Description,Flaky test,HTTP,Helm Chart,Improvement,Incompatible,Kubernetes,Maven,Performance,PrestoDB Druid Connector,PrestoSQL Druid Connector,Priority - High,Priority - Low,Priority - Medium,Priority - Showstopper,Proposal,Question,Refactoring,Release Notes,Security,Stable API,Starter,Uncategorized problem report,WIP,duplicate,invalid,stale,wontfix"
"apache/dubbo","false","4591","5","master","29","367","Apache License 2.0","3231","34912","23329","30823","2012-06-19 07:56:02.0","2021-03-29 15:37:23.0","2021-03-29 18:16:17.0","http://dubbo.apache.org","Java","4142","778","3298","148","2021-03-29 06:07:37.0","49d402e4f63255cc8cd82b87b05d7a7dcaff1ff8","true","false","Java,Mustache,Shell,Lex,Batchfile,Thrift","ASOC2020,FAQ,Notification,cloud-native,compatibility,dependency-upgrade,dubbo  3.0,dubbo-admin,ecosystem,for/team-attention,good first issue,help wanted,level/easy,level/medium,level/tricky,metadata,priority/blocker,priority/high,priority/low,priority/normal,proposal,regression,related/dubbo-spi-extensions,related/nacos,related/rest,related/spring,related/zookeeper,reopen-later,status/DO-NOT-MERGE,status/READY-TO-MERGE,status/declined,status/feedback-provided,status/fix-in-next-release,status/invalid,status/need-external-jar-release,status/need-triage,status/wait-team-discuss,status/waiting-for-feedback,status/wontfix,type/bug,type/documentation,type/duplicate,type/enhancement,type/feature,type/performance,type/question & discussion,type/refactor,type/requirement,type/suspicious,type/unit-test,weekly report,work-in-progress (WIP)"
"apache/shardingsphere","false","28484","3","master","43","229","Apache License 2.0","987","13573","4611","395206","2016-01-18 12:49:26.0","2021-03-29 16:44:36.0","2021-03-29 14:34:58.0","","Java","4357","211","5460","12","2021-03-29 12:47:49.0","f3099d680c247ca141626da3368ea3d604dc65cc","false","false","Java,ANTLR,Shell,Dockerfile,Batchfile","db: MySQL,db: Oracle,db: PostgreSQL,db: SQLServer,feature: consensus-replication,feature: database-discovery,feature: encrypt,feature: governance,feature: observability,feature: query-optimization,feature: read-write-splitting,feature: scaling,feature: shadow,feature: sharding,feature: transaction,feature:agent,feature:authentication,good first issue,in: API,in: JDBC,in: SQL parse,in: document,in: example,in: kernel,in: metadata,in: proxy,in: spring,in: subquery,in: test,status: blocked,status: invalid,status: need more info,status: pending,status: volunteer wanted,status: won't fix,type: bug,type: build,type: community,type: dependencies,type: discussion,type: duplicate,type: enhancement,type: fixed,type: license,type: new feature,type: performance,type: question,type: refactor,type: release"
"apache/skywalking","false","6349","11","master","43","331","Apache License 2.0","844","16460","4846","158406","2015-11-07 03:30:36.0","2021-03-29 09:24:00.0","2021-03-29 13:33:15.0","https://skywalking.apache.org/","Java","3335","80","3304","10","2021-03-29 05:35:24.0","0c0a8d439383d8fd98d76a1d9199871b04c62304","false","false","Java,Shell,Python,FreeMarker,ANTLR,Kotlin,Batchfile,Scala,Makefile,Thrift,TypeScript,JavaScript,Go,PHP","CI settings,CLI,Client JS,Ecosystem,Nginx,SWCK,TBD,UI,agent,backend,bug,chore,complexity:high,complexity:medium,core feature,database,demo env,dependencies,discussion,docker,documentation,don't merge,duplicate,enhancement,exporter,feature,good first issue,high priority,invalid,no update,nodejs,plugin,protocol,python,query,question,so11y,submodule update,test,website,wontfix"
"arduino/arduino","false","7293","6","master","31","243","Other","1091","11568","6831","1382673","2010-09-17 19:10:36.0","2021-03-29 05:39:02.0","2021-03-29 10:22:07.0","http://www.arduino.cc/","Java","9547","803","1457","113","2021-03-09 08:20:05.0","ed67cd330ad5d88c1631908cfeb2ba0572dcb6d7","true","false","Java,Python,Shell,Perl,JavaScript","32bit Deprecation,Architecture: AVR,Architecture: SAM,Architecture: SAMD,Board: Arduino Due,Board: Arduino Robot,Component: Avrdude 6.3,Component: Board/Lib Manager,Component: Bootloader,Component: CLI,Component: Compilation,Component: Core,Component: Documentation,Component: Firmware,Component: Hardware,Component: HardwareSerial,Component: IDE,Component: IDE Serial monitor,Component: IDE user interface,Component: Preprocessor,Component: Proxy,Component: Toolchain,Component: USB Device,Component: Uploading,Component: Website,Drivers,Examples: ArduinoISP,Help wanted,IDE 1.9.x Beta,Java 9+,Library: Bridge,Library: EEPROM,Library: Ethernet,Library: HID,Library: LiquidCrystal,Library: Other,Library: SD,Library: SPI,Library: Scheduler,Library: Servo,Library: SoftwareSerial,Library: Stepper,Library: TFT,Library: Wifi,Library: Wire,Localization,OS: Linux,OS: Linux ARM,OS: OSX,OS: Windows,OS: Windows XP,On Hold,OpenJDK,Print and Stream class,SerialPlotter,Type: Bug,Type: Duplicate,Type: Improvement,Type: Invalid,Type: Regression,Type: Wontfix,Type: Works For Me,USB: CDC serial,Uncategorized,Upstream notified,Waiting for feedback,accessibility,arduino-builder,arduino-cli,c++14,editor-refactor,feature request,in progress,jmdns,libListSerial,package_index_incident,question,security,theme,windows store app"
"baomidou/mybatis-plus","false","4529","6","3.0","20","84","Other","33","10714","2947","16145","2016-08-18 10:06:53.0","2021-03-25 00:38:59.0","2021-03-25 08:50:46.0","https://baomidou.com","Java","3051","42","324","9","2021-03-22 03:23:41.0","34ebdf6ee673ccd10e3b87fec63f5497340f8ca2","true","false","Java,Kotlin","2.x,Comment,Gitalk,bug,dependencies,duplicate,enhancement,help wanted,invalid,question,todo :spiral_notepad:,wontfix"
"bazelbuild/bazel","false","29163","17","master","97","337","Apache License 2.0","597","16433","2918","752937","2014-06-12 16:00:38.0","2021-03-29 09:32:08.0","2021-03-29 12:05:42.0","https://bazel.build","Java","8586","1954","4119","110","2021-03-29 07:06:24.0","facc7d5273dc31bfca04968f0ee1ed7d2769ddf9","true","false","Java,Python,Shell,C++,HTML,Starlark,Smarty,C,PowerShell,Objective-C,Batchfile,Dockerfile,Objective-C++,Makefile,Ruby","P0,P1,P2,P3,P4,Starlark configuration,a11y,area-EngProd,area-ExternalDeps,area-Windows,area-java-Starlark_API,area-java-native_libs,area-java-toolchains,bad error messaging,bazel.build,breakage,breaking-change-0.20,breaking-change-0.21,breaking-change-0.22,breaking-change-0.23,breaking-change-0.24,breaking-change-0.25,breaking-change-0.26,breaking-change-0.27,breaking-change-1.0,breaking-change-2.0,breaking-change-3.0,breaking-change-4.0,breaking-change-5.0,category: BEP,category: misc > misc,category: misc > testing,category: rules > ObjC / iOS / J2ObjC,category: sandboxing,cla: no,cla: yes,coverage,duplicate,good first issue,help wanted,incompatible-change,migration-0.19,migration-0.20,migration-0.21,migration-0.22,migration-0.23,migration-0.24,migration-0.25,migration-0.26,migration-0.27,migration-0.28,migration-0.29,migration-1.0,migration-1.1,migration-1.2,migration-2.0,migration-2.1,migration-2.2,migration-3.0,migration-3.1,migration-3.2,migration-3.3,migration-3.4,migration-3.5,migration-3.6,migration-3.7,migration-4.0,migration-ready,more data needed,platform: apple,platform: linux,platform: other,platform: windows,query bugs,release,release blocker,team-Android,team-Bazel,team-Build-Language,team-Configurability,team-Core,team-Documentation,team-Local-Exec,team-Performance,team-Remote-Exec,team-Rules-CPP,team-Rules-Java,team-Rules-Python,team-Rules-Server,team-Starlark-Integration,team-Starlark-Interpreter,team-XProduct,type: bug,type: documentation (cleanup),type: feature request,type: process,type: support / not a bug (process),under investigation,untriaged,wip"
"blankj/androidutilcode","false","1317","40","master","116","31","Apache License 2.0","1183","28984","9627","47036","2016-07-30 18:18:32.0","2021-03-10 08:27:39.0","2021-03-12 03:13:30.0","https://blankj.com/2016/07/31/android-utils-code/","Java","1265","36","182","6","2021-02-21 18:48:22.0","66a4c0488ca6da273098058d70dabb0fe9b9bd8d","false","false","Java,Kotlin,Groovy,Shell","bug,duplicate,enhancement,help wanted,invalid,question,wontfix"
"brettwooldridge/hikaricp","false","2781","8","dev","100","114","Apache License 2.0","731","14573","2227","4626","2013-10-08 05:43:03.0","2021-02-14 22:06:16.0","2021-02-15 07:44:45.0","","Java","1394","249","334","38","2021-02-13 08:26:19.0","28f5486ecffe551e0e80b1ed5158e42472624123","true","false","Java,Shell","awaiting-response,bug,duplicate,enhancement,more-information-needed,not-a-bug,question,volunteer-needed,wontfix"
"bumptech/glide","false","2574","51","master","36","116","Other","1077","30911","5636","73408","2013-07-08 22:52:33.0","2021-03-25 00:01:47.0","2021-03-25 08:11:03.0","https://bumptech.github.io/glide/","Java","3923","207","575","20","2021-03-24 23:11:55.0","71e7c2f9efaecfa224c13ed48dbdeddeeabe163e","true","false","Java,Shell","GIF,bug,build stability,cla: no,cla: yes,documentation,enhancement,feature,good first issue,help wanted,import-ready,kotlin,missing issue template,needs triage,non-library,question,repro-needed,reproducible,resource_leak,stale,v3,v4,view size,wontfix"
"carguo/gsyvideoplayer","false","1235","7","master","24","10","Apache License 2.0","412","15956","3536","357369","2016-11-13 12:34:31.0","2021-03-29 02:12:13.0","2021-03-29 07:42:58.0","https://juejin.im/user/582aca2ba22b9d006b59ae68/posts","Java","3033","16","28","1","2021-03-29 02:09:14.0","56694576e1918f107f5ba1d6e51d3d3705e91ca2","true","false","Java,Shell","bug,duplicate,enhancement,help wanted,invalid,need more information,not player issues,question,waiting fix,wontfix"
