"name","fork project","commits","branches","default branch","releases","contributors","license","watchers","stargazers","forks","size","created","pushed","updated","homepage","main language","total issues","open issues","total pull requests","open pull requests","last commit","last commit SHA","has wiki","is archived","languages","labels"
"mockito/mockito","false","5504","40","release/3.x","160","212","MIT License","434","11649","2071","47020","2012-10-13 20:27:12.0","2021-03-29 20:55:26.0","2021-03-29 20:47:17.0","http://mockito.org","Java","1177","286","1069","15","2021-03-29 20:47:13.0","c5be5c3144af9198acf3f33190c0f45718627a2f","true","false","Java,Kotlin,XSLT,Groovy,Shell","1.* incompatible,2.* incompatible,BDD,Groovy-lang,OSGI,WIP,android,awaiting response,bug,build,byte-buddy-1.8.0,community feedback,continuous integration,dependencies,docs,duplicate,enhancement,epic,exploring idea,feedback-needed,final-class-or-methods,framework integrations,in progress,injection,invalid,java,java-10,java-11,java-12,java-8,java-9,junit5,kotlin,maybe,new feature,not needed,noteworthy,on hold,please contribute,question,ready,refactoring,strictness,testng,wontfix"
"mybatis/mybatis-3","false","3693","7","master","33","171","Other","1205","15295","10352","106807","2013-02-14 19:03:32.0","2021-03-25 17:06:49.0","2021-03-26 00:03:18.0","http://mybatis.github.io/mybatis-3/","Java","1073","110","1126","54","2021-03-25 17:06:22.0","b4275bdcc851cb13f40b520a03df9650069caffe","true","false","Java,CSS,TSQL,PLpgSQL","bug,bug on dependency library,dependencies,documentation,duplicate,enhancement,good first issue,in progress,invalid,no backward compatibility,polishing,question,ready,security,waiting for feedback,wontfix"
"netflix/eureka","false","1666","17","master","138","95","Apache License 2.0","979","10295","3098","12054","2012-07-26 22:23:07.0","2021-03-23 20:15:36.0","2021-03-24 14:15:53.0","","Java","553","25","797","1","2021-03-18 22:04:58.0","04ee3177cb18422dfd9436544735f84c0e0c0612","true","false","Java,Shell,CSS","1.x,2.x,Awaiting response,bug,documentation,duplicate,enhancement,help wanted,invalid,question,stale,test bug,wontfix"
"netflix/hystrix","false","2109","10","master","151","109","Apache License 2.0","1684","21044","4296","9784","2012-11-19 20:14:46.0","2021-02-05 08:39:30.0","2021-02-05 17:15:38.0","","Java","1009","336","795","46","2018-11-19 22:20:36.0","3cb21589895e9f8f87cfcdbc9d96d9f63d48b848","true","false","Java,Clojure,CSS,Groovy","PR-welcome,bug,clojure,dashboard,discussion,documentation,duplicate,enhancement,hystrix-core,invalid,javanica,metrics,performance,question,wontfix"
"nostra13/android-universal-image-loader","false","1038","3","master","15","38","Apache License 2.0","1385","16772","6288","27128","2011-11-27 18:48:23.0","2020-04-06 21:07:32.0","2020-12-09 12:51:40.0","","Java","1208","437","147","0","2020-04-06 21:07:18.0","458df4da2e23ba9ad76c79241a948cdfcccf72ae","true","false","",""
"openzipkin/zipkin","false","2626","41","master","183","146","Apache License 2.0","715","13887","2632","64317","2012-06-06 18:26:16.0","2021-01-05 14:24:56.0","2021-01-07 18:06:10.0","https://zipkin.io/","Java","1196","130","2101","9","2021-01-05 14:24:55.0","4a690eb1486eea8d5eaf10e47f1ea350b3ad0959","true","false","Java,JavaScript,TypeScript,Shell,Dockerfile,HTML,CSS","bug,cassandra,chore,collector,dependencies,docker,docs,duplicate,elasticsearch,enhancement,feedback-needed,help wanted,icebox,invalid,kafka,model,mysql,over capacity,performance,question,rabbitmq,releng,rule-of-three,server,storage,techdebt,ui,wontfix,zipkin3"
"oracle/graal","false","55462","23","master","32","205","Other","481","14896","1120","194053","2016-01-14 17:11:35.0","2021-03-29 18:59:06.0","2021-03-30 00:34:55.0","https://www.graalvm.org","Java","2334","660","948","103","2021-03-29 17:30:37.0","8833ed9804afbd2002e08fd450638ed457c3d531","false","false","Java,C,Python,WebAssembly,C++,JavaScript,LLVM,Makefile,TypeScript,ANTLR,Shell,Ruby,Jsonnet,Slash,Clojure,Batchfile,Objective-C,HTML,R","Java8,accept,agent,bug,building,compiler,configuration,dependencies,do not merge,docker,documentation,duplicate,enhancement,feature,good first issue,gu,help wanted,invalid,java,java on truffle,javascript,llvm,native-image,oca-signed,on hold,oracle-emp,performance,platform-darwin,platform-linux,platform-windows,python,quarkus,question,r,ruby,spring,tools,tracking,truffle,unconfirmed,vscode,wasm,wontfix"
"orhanobut/logger","false","144","1","master","21","10","Apache License 2.0","379","12566","2018","1875","2015-03-20 22:30:12.0","2020-10-29 10:49:01.0","2020-12-09 00:32:09.0","","Java","185","51","60","11","2018-04-10 07:53:13.0","4a85b788a09b166e0953db09d582e9cc51b396e9","false","false","Java,Kotlin","bug,feature request,help needed,waiting for reply"
"pagehelper/mybatis-pagehelper","false","542","3","master","58","19","MIT License","525","10095","2853","4691","2014-06-09 15:32:30.0","2021-02-22 04:23:46.0","2021-02-22 06:17:41.0",,"Java","551","154","36","5","2021-02-22 04:23:09.0","372133a277d7987fcb8852bb5499398606852fa5","true","false","Java","SQL解析,bug,dependencies,优化,待处理,补充信息"
"permissions-dispatcher/permissionsdispatcher","false","766","1","master","40","29","Apache License 2.0","276","10502","1380","2953","2015-08-15 21:41:05.0","2021-03-15 15:24:44.0","2021-03-15 19:40:47.0","https://github.com/permissions-dispatcher/PermissionsDispatcher","Java","435","13","283","0","2021-03-15 15:24:41.0","5b937ccba851a42719d21b76a8da110705f56538","false","false","Java,Kotlin,Groovy","bug,contributionwelcome,enhancement,inquiry,ktx,proposal"
"philjay/mpandroidchart","false","2068","6","master","44","66","Other","1136","32970","8313","21625","2014-04-25 14:29:47.0","2021-03-19 04:37:35.0","2021-03-19 15:43:39.0","","Java","4626","1814","469","117","2020-10-29 15:31:19.0","5a732b04278a983d32856c75ad552f2dcbbd922d","true","false","Java","bug,discuss,docs,duplicate,enhancement,feature,fix,invalid,pending,style,wontfix"
"pinpoint-apm/pinpoint","false","11685","13","master","46","95","Apache License 2.0","767","11278","3393","230521","2014-10-20 09:27:22.0","2021-03-29 10:16:32.0","2021-03-29 13:09:14.0","https://pinpoint-apm.github.io/pinpoint/","Java","3094","163","4656","36","2021-03-26 10:49:35.0","2cff5e4a7a773c966d5cfb427c04fb58c1d8db03","true","false","Java,TypeScript,CSS,HTML,SCSS,Less,Thrift,Shell,JavaScript,Groovy,TSQL,Batchfile","FAQ,bug,cleanup,configuration,dependencies,docker,document,enhancement,help wanted,invalid,known-issue,lib-update,log,module:agent,module:batch,module:collector,module:flink,module:plugin,module:project-common,module:test,module:web,notices,proposal,question,release,security,stale,test,troubleshooting,ui,waiting for review,wontfix"
"proxyee-down-org/proxyee-down","false","474","13","master","50","9","Apache License 2.0","991","25553","4671","26858","2017-10-25 10:07:27.0","2020-08-11 09:34:25.0","2020-12-09 10:34:44.0",,"Java","?","?","33","0","2020-08-11 09:34:24.0","ec921c3c2ca6e205484ec52ab8a8649c8f882e5c","true","false","",""
"reactivex/rxandroid","false","511","3","3.x","19","66","Apache License 2.0","1039","19327","2991","949","2014-08-19 03:46:38.0","2021-02-04 19:46:59.0","2021-02-05 10:43:14.0","","Java","338","0","229","1","2021-01-07 17:40:59.0","f1ddbcb637a2bc3f873db204f3af9d8b01688550","true","false","Java,Shell","bug,duplicate,enhancement,help wanted,invalid,needs-info,question,wontfix"
"reactivex/rxjava","false","5860","4","3.x","215","267","Apache License 2.0","2313","44401","7386","125610","2013-01-08 20:11:48.0","2021-03-28 12:12:30.0","2021-03-28 14:17:55.0","","Java","3022","9","3554","1","2021-03-26 22:07:08.0","11b50a5ee28369a7004c1240cfaf7ea081febced","true","false","Java,CSS,Shell","1.x,2.x,3.x,API promotion,Android,Bug,Build,Cleanup,Coverage,Deprecation,Discussion,Documentation,Duplicate,Enhancement,Feature-Request,Information,Invalid,Investigating,Java 8,Kotlin,Missing-Details,PR welcome,Performance,Performance: allocation,Performance: throughput,Question,Removal,Retrofit,Shortcoming,StackOverflow,Test,Test-Failures,Tools,Wont-Fix,dependencies,good first issue"
"redisson/redisson","false","6385","4","master","92","95","Apache License 2.0","888","16035","3914","16584","2014-01-11 14:06:25.0","2021-03-28 08:47:08.0","2021-03-28 13:25:55.0","https://redisson.pro","Java","3109","181","406","24","2021-03-26 07:11:17.0","acbff29eab675ddc6fcfac4e4ae5dbb0f7c3ae45","true","false","Java","bug,dependencies,duplicate,enhancement,feature,hibernate,invalid,new command,pubsub,question,redis vendor bug,redis-cluster,suggestion,tomcat,wontfix"
"scwang90/smartrefreshlayout","false","1072","4","master","11","3","Apache License 2.0","519","22031","4537","273174","2017-06-02 09:52:50.0","2021-01-06 14:31:20.0","2021-01-07 08:08:29.0","https://segmentfault.com/a/1190000010066071","Java","1267","121","20","2","2021-01-06 14:30:40.0","ac4a5bdbdca525144d8d62328d966d466e289163","true","false","Java,Batchfile",""
"seata/seata","false","1216","12","develop","30","202","Apache License 2.0","877","19033","5848","7418","2018-12-28 08:37:22.0","2021-03-29 09:19:02.0","2021-03-29 11:17:46.0","https://seata.io","Java","1991","439","1607","78","2021-03-26 15:18:12.0","2dac3a5062ed5fe5dd027fac6105dbcd32767f9e","true","false","Java,ANTLR,JavaScript,Shell,Less,Mustache,Python,HTML,Dockerfile","DB: H2,DB: MySQL,DB: Oracle,DB: PgSQL,DB: SQLServer,DL: MyCat,DL: Sharding-JDBC,Do Not Merge,MQ: RocketMQ,ORM,ORM: JPA,ORM: MyBatis,ORM: MyBatis-Plus,RM,RPC,RPC-Registry,RPC: Dubbo,RPC: Motan,RPC: SpringCloud,TC,TC/store,TM,Upgrade Notice,closed: declined,closed: duplicate,closed: invalid,closed: solved,closed: superseded,closed: temporarily-not-supported,first-time contributor,for: external-project,for: team-attention,for: team-meeting,good first issue,mode: AT,mode: LCN,mode: SAGA,mode: TCC,mode: XA,module/common,module/compressor,module/config,module/core,module/discovery,module/distribution,module/integration,module/metrics,module/registry,module/rm,module/rm-datasource,module/saga,module/script,module/seata-spring-boot-starter,module/serializer,module/server,module/spring,module/sqlparser,module/tcc,module/test,module/tm,priority: high,priority: low,priority: normal,priority: urgent,size: L,size: M,size: S,size: XL,size: XS,size: XXL,solution/MySQL,solution/Oracle,solution/RegistrationCenter,solution/build,status: feedback-provided,status: feedback-reminder,status: help-wanted,status: inactive,status: merge-conflict,status: on-hold,status: to-be-discussed,status: to-be-supported,status: waiting-for-feedback,status: waiting-for-triage,testing/performance,testing/stress,theme: ASoC2020,theme: DB support,theme: HA,theme: code style,theme: config,theme: demo,theme: docker,theme: experience,theme: netty,theme: network,theme: performance,theme: storage,theme: wiki-document,type: bug"
"seleniumhq/selenium","false","26780","22","trunk","27","386","Apache License 2.0","1334","20432","6225","1895680","2013-01-14 21:40:56.0","2021-03-29 16:17:43.0","2021-03-30 00:01:15.0","https://selenium.dev","Java","7160","175","2098","25","2021-03-29 16:16:25.0","eaa10470f62dcfd04bdbfcf7775bcb32223d887d","true","false","Java,C#,JavaScript,C++,HTML,Ruby,Python,Starlark,TypeScript,C,Shell,Batchfile,Makefile,CSS,Ragel,Objective-C,XSLT,ASP.NET","A-build failed,A-needs decision,A-needs new owner,A-tests failed,C-WebDriverBackedSelenium,C-build,C-cpp,C-docs,C-dotnet,C-grid,C-htmlrunner,C-ide,C-infra,C-java,C-nodejs,C-py,C-rb,C-remote,C-server,D-IE,D-atoms,D-chrome,D-edge,D-firefox,D-htmlunit,D-marionette,D-safari,E-easy,E-hard,E-less easy,G-w3c,I-cleanup,I-defect,I-enhancement,I-needs investigation,I-papercut,I-performance,I-question,I-race,I-regression,OS-linux,OS-mac,OS-windows,R-awaiting answer,R-awaiting merge,R-awaiting review,R-awaits CLA confirmation,R-blocked on external,R-needs code changes,R-needs rebase,Selenium-4-Beta,dependencies,needs-triaging,python"
"skylot/jadx","false","1451","3","master","14","51","Apache License 2.0","753","25541","3133","16491","2013-03-18 17:08:21.0","2021-03-29 20:13:40.0","2021-03-29 20:13:47.0","","Java","831","158","297","1","2021-03-29 19:46:18.0","7065b1b3ba2e95e73608706f44800da07975668e","true","false","Java,Smali","0 - Backlog,1 - Ready,2 - Working,3 - Done,CLI,Core,GUI,Resources,bug,deobfuscation,duplicate,enhancement,hard-to-fix,need help,new feature,no-reply,question,regression,released,try-catch"
"spring-projects/spring-boot","false","31482","13","master","89","382","Apache License 2.0","3447","54208","33210","131949","2012-10-19 15:02:57.0","2021-03-27 21:24:18.0","2021-03-27 22:17:02.0","https://spring.io/projects/spring-boot","Java","20954","481","4664","26","2021-03-27 07:06:21.0","870d9b191a0ddbe4978520499261232582c46deb","true","false","Java,HTML,Kotlin,Shell,JavaScript,Groovy,Ruby,Smarty,Dockerfile,Batchfile,CSS,Mustache,Vim Snippet","for: external-project,for: merge-with-amendments,for: stackoverflow,for: team-attention,for: team-meeting,status: back-port,status: blocked,status: declined,status: duplicate,status: feedback-provided,status: feedback-reminder,status: first-timers-only,status: forward-port,status: ideal-for-contribution,status: invalid,status: noteworthy,status: on-hold,status: pending-design-work,status: superseded,status: waiting-for-feedback,status: waiting-for-triage,theme: config-data,theme: datasource,theme: devtools,theme: inner-loop,theme: kubernetes,theme: native,theme: observability,theme: performance,theme: profiles,theme: ssl,theme: testing,theme: web-error-handling,type: blocker,type: bug,type: dependency-upgrade,type: documentation,type: enhancement,type: epic,type: regression,type: task,type: wiki-documentation"
"spring-projects/spring-framework","false","22357","15","master","203","389","Apache License 2.0","3488","42050","29287","166987","2010-12-08 04:04:45.0","2021-03-29 17:31:07.0","2021-03-29 23:35:06.0","https://spring.io/projects/spring-framework","Java","20734","972","3273","255","2021-03-29 17:30:49.0","b651c10e83e6876bffa54d057ec15bc2f630c017","true","false","Java,Kotlin,Groovy,AspectJ,FreeMarker,CSS,GAP,Shell,XSLT,HTML,Ruby,JavaScript,Smarty,PLpgSQL,Python,Dockerfile","for: backport-to-4.3.x,for: backport-to-5.0.x,for: backport-to-5.1.x,for: backport-to-5.2.x,for: external-project,for: merge-with-amendments,for: stackoverflow,for: team-attention,has: votes-jira,in: core,in: data,in: messaging,in: test,in: web,status: backported,status: blocked,status: bulk-closed,status: declined,status: duplicate,status: feedback-provided,status: feedback-reminder,status: ideal-for-contribution,status: invalid,status: pending-design-work,status: superseded,status: waiting-for-feedback,status: waiting-for-triage,theme: native,type: backport,type: blocker,type: bug,type: dependency-upgrade,type: documentation,type: enhancement,type: regression,type: task"
"square/picasso","false","1368","12","master","22","97","Apache License 2.0","889","17851","4007","4467","2013-05-14 15:07:47.0","2021-01-31 11:42:15.0","2021-02-03 14:20:00.0","https://square.github.io/picasso/","Java","1517","187","674","27","2020-09-16 06:58:58.0","2832bcd7e725befd7f6c26ddd0e94684d5013791","false","false","Java,Kotlin,HTML,CSS,Shell","Needs Info,bug,duplicate,enhancement,invalid,question,wontfix"
"square/retrofit","false","1865","14","master","27","142","Apache License 2.0","1620","37774","6811","5508","2010-09-06 21:39:43.0","2021-03-23 19:55:59.0","2021-03-24 13:39:09.0","https://square.github.io/retrofit/","Java","2467","116","1032","24","2021-02-24 13:08:49.0","fbf1225e28e2094bec35f587b8933748b705d167","true","false","Java,Kotlin,HTML,CSS,Shell","Blocked,Bug,Documentation,Enhancement,Feature,Icebox,Needs Info,OkHttp,PR welcome,Probably Not Retrofit,Website,dependencies"
"teamnewpipe/newpipe","false","8372","9","dev","98","324","Other","486","13248","1723","48658","2015-09-03 23:39:26.0","2021-03-29 23:08:25.0","2021-03-29 17:01:12.0","https://newpipe.net","Java","4714","879","1151","71","2021-03-29 16:00:00.0","84de865daf689852fb8bc781f2ce5be74eaed6b3","true","false","Java,Kotlin,HTML","ASAP,Android TV,BBC Sounds,GUI,accessibility,bandcamp,bounty,bug,codequality,deep review required,device/software specific,discussion,doesn't-follow-template,downloader,enhancement,feed,good first issue,help wanted,localisation / translation,media.ccc.de,meta,more info needed,multiservice,niche,notification,peertube,player,privacy & data protection,question,requires extractor change,soundcloud,tablet UI,user-blocked-us,user-ignored-template,youtube"
"tencent/apijson","false","2324","7","master","77","15","Other","350","10207","1275","70984","2016-11-21 12:03:29.0","2021-03-27 11:44:58.0","2021-03-27 23:31:41.0","http://apijson.org","Java","179","73","30","7","2021-03-27 11:41:59.0","786d326e6f5f5da2dad2e31490c91bec88ff34f5","true","false","Java","Access 权限,Bug 漏洞,Business Logic 业务逻辑,Document 文档,Duplicate 重复,Ecosystem 周边生态,English 英语,Enhancement 增强,Login 登录,OLAP 数据分析,Performance 性能,Quality 代码质量,Question 使用问题,RFC 远程函数调用,dependencies,help wanted,invalid,java,wontfix"
"tencent/qmui_android","false","822","4","master","34","15","Other","328","12736","2455","17432","2017-04-21 10:03:18.0","2021-03-16 14:45:10.0","2021-03-16 17:47:08.0","http://qmuiteam.com/android","Java","1037","355","35","2","2021-03-16 14:45:03.0","04ca9b7833138f5e5a4da4511297bd181db9cdbe","true","false","Java,Kotlin,Groovy,HTML,JavaScript,Shell","bug,document,duplicate,enhancement,feature request,help wanted"
"tencent/tinker","false","677","3","dev","39","30","Other","720","15710","3154","6480","2016-09-06 06:57:52.0","2021-03-25 06:05:29.0","2021-03-25 09:09:14.0","","Java","1409","373","133","2","2021-03-25 06:05:29.0","26c474f9c58464b4da44ed2d9e44fd9701ebb090","true","false","Java,Groovy,Python,Shell","bug,duplicate,enhancement,help wanted,invalid,notice,question,undetermined,wontfix"
"tencent/vassonic","false","372","2","master","12","14","Other","386","11112","1514","16215","2017-08-01 08:35:13.0","2020-01-04 11:55:57.0","2020-12-09 14:40:49.0","","Java","240","38","115","2","2019-04-15 08:26:32.0","59936beff656d4b5718ff6444d6c5e001a2c5231","true","false","","bug,duplicate,enhancement,good question,help wanted,invalid,question,wontfix,无效问题"
"xuxueli/xxl-job","false","1674","12","master","30","50","GNU General Public License v3.0","935","17642","7559","32371","2015-11-28 12:59:34.0","2021-03-23 09:31:22.0","2021-03-23 10:13:01.0","http://www.xuxueli.com/xxl-job/","Java","2055","496","283","34","2021-02-09 09:48:33.0","1b582691906d0ac81e0a9eaf38840f606dd7712a","true","false","Java,Dockerfile","bug,duplicate,enhancement,experience sharing,help wanted/suggest,invalid,question,wontfix"
"yalantis/ucrop","false","340","8","develop","12","41",,"262","10541","1903","62450","2016-01-05 13:41:06.0","2021-03-11 12:29:33.0","2021-03-12 03:01:47.0","https://yalantis.com/blog/introducing-ucrop-our-own-image-cropping-library-for-android/","Java","576","160","170","27","2020-08-20 14:50:22.0","1a7653e102414d805ff13095efb049f95de594f1","true","false","Java,C++,Makefile","bug,duplicate,enhancement,help wanted,invalid,question,wontfix"
"zhangdaiscott/jeecg-boot","false","473","17","master","13","10","Apache License 2.0","742","21210","8185","44871","2018-11-26 10:40:00.0","2021-03-28 11:52:08.0","2021-03-28 16:33:17.0","http://www.jeecg.com","Java","2016","24","101","7","2021-03-28 11:51:53.0","c6645ed8000b6844b86411eff407245ccc026926","true","false","Java,FreeMarker,Less,Dockerfile,Shell","bug,dependencies,duplicate,enhancement,good first issue,help wanted,invalid,java,javascript,question,wontfix,已安排,已拒绝"
"zhihu/matisse","false","223","1","master","18","28","Apache License 2.0","239","11787","1868","1991","2017-04-13 01:31:05.0","2021-01-25 09:16:16.0","2021-01-25 13:11:56.0","","Java","678","377","161","53","2019-10-30 02:21:00.0","21591aebe73a56435d84afc7b5cd50ea7ae2a6b8","true","false","Java","bug,duplicate,enhancement,feature,help wanted,high priority,invalid,need more info,question,wontfix"
"zxing/zxing","false","3575","2","master","27","102","Apache License 2.0","1710","27433","8973","240492","2011-10-12 14:07:27.0","2021-03-29 04:42:06.0","2021-03-29 11:11:03.0","","Java","1060","7","291","3","2021-03-18 00:25:26.0","5fb2cf8e96af250fa6bfc472ef7e1669fa41a2f3","true","false","Java,HTML,CSS","android,bug,dependencies,enhancement"
